"dist_param","plot_id","tree_id","core_id","missing_mm","missing_years","dbh_mm"
14,135,81776,954,0,0,370
14,135,81778,955,0,0,420
14,135,81782,958,0.94,1,590
14,135,81784,960,0.94,0,460
14,135,81786,962,4.67,2,470
14,135,81792,950,0,0,550
14,135,81793,965,0,0,320
14,135,81794,966,2.81,2,490
14,135,81798,968,0,0,490
14,135,81806,970,0,0,390
14,135,81810,972,1.87,4,560
14,135,81811,973,0,0,240
14,135,81813,975,7.48,17,290
14,135,81814,976,0,0,460
14,135,81821,981,5.61,5,640
14,135,81829,985,0,0,540
14,135,81830,986,0,0,310
14,135,81835,3225,2.81,1,390
14,135,81842,991,1.87,1,440
14,135,81846,993,2.81,2,320
14,135,81847,990,0,0,280
14,135,81850,995,2.81,1,510
14,135,81868,1004,0,0,480
14,135,81870,1005,0,0,360
14,135,81877,1007,0,0,410
14,135,81882,1009,3.74,1,540
14,135,81883,1010,2.81,8,560
14,135,81890,1015,2.81,10,390
14,135,81896,1019,0,0,510
14,135,81900,1022,0,0,490
14,135,81902,1024,14.03,20,410
14,135,81903,1025,10.29,6,490
14,135,81908,1028,4.67,23,340
14,135,81912,1030,4.67,2,550
14,135,81913,1031,0,0,420
14,135,81914,1032,0.94,4,490
14,135,81916,1034,1.87,3,360
14,135,81917,1035,0,0,510
14,135,81918,1036,2.81,4,370
14,135,81923,1038,3.74,5,520
14,135,81924,1039,0,0,460
14,135,81925,1040,0,0,340
14,135,81927,1042,1.87,3,580
14,135,81933,1044,0,0,310
14,135,81934,1045,0.94,2,520
14,135,81941,1046,4.67,4,290
14,135,81948,1047,4.67,6,540
14,140,81952,1050,3.74,4,188
14,140,81965,1056,38.34,18,484
14,140,81969,1059,0,0,449
14,140,81971,1061,0.94,1,493
14,140,81972,1062,0,0,475
14,140,81976,1063,2.81,2,434
14,140,81985,1066,10.29,6,660
14,140,81986,1067,0,0,254
14,140,81987,1068,1.87,3,295
14,140,81992,1124,0,0,613
14,140,81993,1072,0,0,381
14,140,81996,1074,0,0,315
14,140,82004,1125,0,0,541
14,140,82006,1079,0,0,519
14,140,82009,1082,7.48,15,192
14,132,82015,1093,0,0,395
14,132,82016,1094,0,0,299
14,132,82021,1098,3.74,2,355
14,132,82028,1099,0,0,283
14,132,82029,1100,0,0,253
14,132,82042,1101,0,0,203
14,132,82075,1106,4.67,1,467
14,132,82078,1108,2.81,1,335
14,132,82098,1112,0,0,313
14,132,82102,1113,3.74,1,271
14,132,82103,1114,0,0,365
14,132,82106,1115,2.81,1,350
14,132,82126,1118,4.67,1,285
14,132,82141,1121,0,0,363
14,997,801,1336,0,0,270
14,997,814,1345,0,0,420
14,997,822,1347,3.74,3,420
14,997,824,1348,3.74,4,460
14,997,829,1351,0,0,470
14,997,830,1352,19.64,7,390
14,997,831,1353,0,0,590
14,997,834,1355,0,0,390
14,997,839,1358,0.94,1,420
14,997,847,1362,1.87,2,340
14,997,848,1363,0,0,260
14,997,850,1365,0,0,400
14,997,857,1368,1.87,2,310
14,997,864,1372,2.81,3,320
14,997,866,1373,1.87,8,370
14,997,880,1374,1.4,2,380
14,997,886,1378,0,0,290
14,997,887,1379,2.81,3,310
14,997,893,1381,4.67,5,590
14,1099,899,1385,6.54,9,510
14,1099,902,1388,1.87,2,520
14,1099,908,1392,11.22,6,570
14,1099,909,1393,0,0,370
14,1099,910,1394,4.67,4,480
14,1099,920,1398,1.87,4,200
14,1099,924,1401,0,0,380
14,1099,926,1403,3.74,8,260
14,1099,928,1405,4.67,4,360
14,1099,929,1406,0,0,610
14,1099,937,3366,0,0,330
14,1099,940,1414,0,0,320
14,1099,941,1415,1.87,2,410
14,1099,948,1419,0,0,390
14,1092,962,1426,0,0,310
14,1092,976,1431,0.94,2,360
14,1092,977,1432,0,0,310
14,1092,979,1434,1.87,2,410
14,1092,980,1435,4.67,3,380
14,1092,981,1436,0,0,310
14,1092,982,1437,2.81,3,390
14,1092,992,715,0,0,420
14,1092,1000,1442,0,0,210
14,1092,1001,1443,0,0,320
14,1092,1005,1445,0,0,420
14,1092,1006,1446,1.4,3,250
14,1092,1009,1447,0,0,210
14,1092,1011,1448,0,0,460
14,1092,1021,1450,0,0,310
14,1092,1026,1453,3.74,2,290
14,1092,1029,1454,0,0,380
14,1092,1034,1457,0,0,510
14,1092,1035,1458,0,0,440
14,1092,1037,1460,2.81,2,
14,996,1038,1461,0,0,580
14,996,1058,1469,0,0,440
14,996,1060,1470,7.48,6,490
14,996,1062,1471,4.67,4,510
14,996,1064,1472,1.87,1,410
14,996,1068,1476,0.47,1,430
14,996,1070,1479,0,0,610
14,996,1074,1481,1.87,3,720
14,996,1080,1484,0,0,460
14,996,1084,1486,1.4,1,360
14,996,1085,1487,4.67,3,290
14,996,1088,1488,2.81,1,460
14,996,1089,1490,0,0,410
14,1006,1090,1499,1.87,1,670
14,1006,1094,1502,0,0,440
14,1006,1096,1504,0,0,570
14,1006,1100,1510,1.87,1,410
14,1006,1105,1513,1.87,2,430
14,1006,1114,1519,9.35,8,510
14,1006,1123,1524,0,0,620
14,1006,1125,1527,0,0,640
14,1006,1127,1530,5.61,3,480
14,1006,1129,1532,0,0,170
14,1047,1140,1543,0,0,440
14,1047,1153,1549,0,0,350
14,1047,1164,1554,4.67,3,450
14,1047,1165,1555,0,0,540
14,1047,1167,1557,0,0,570
14,1047,1168,1558,0,0,510
14,1047,1170,1560,0,0,330
14,1047,1171,1561,1.87,1,380
14,1047,1172,1562,0,0,460
14,1047,1174,1564,4.67,6,510
14,1047,1181,1566,0,0,320
14,1047,1182,1567,3.74,1,440
14,1047,1183,1568,1.87,2,370
14,1047,1190,1570,0,0,430
14,1047,1200,1571,0,0,530
14,1047,1202,1572,0,0,390
14,164,1204,1575,0,0,490
14,164,1208,1578,0,0,560
14,164,1209,1579,0,0,520
14,164,1210,723,0,0,610
14,164,1213,1582,0,0,420
14,164,1214,1583,0,0,600
14,164,1231,1592,14.96,6,610
14,164,1240,1603,0.94,1,630
14,164,1242,1605,0,0,540
14,164,1243,1606,0,0,540
14,164,1244,1607,0.94,2,580
14,164,1246,1608,0,0,710
14,166,1249,1611,0,0,420
14,166,1263,1620,3.74,3,530
14,166,1264,1621,0,0,630
14,166,1266,1623,0.94,1,700
14,166,1267,1624,0,0,380
14,166,1272,1626,1.87,1,570
14,166,1279,1631,0,0,560
14,166,1283,1633,0.94,1,230
14,166,1286,1635,7.48,8,510
14,166,1289,1637,0,0,150
14,166,1290,1638,0,0,360
14,166,1291,1639,0,0,630
14,166,1294,1641,0,0,370
14,166,1298,1644,3.74,2,590
14,166,1299,1645,0.94,1,530
14,166,1302,1647,0,0,420
14,164,1237,1596,3.74,4,570
18,131,81713,935,0,0,550
14,958,59773,612,0,0,505
14,958,59776,614,4.67,0,447
14,958,59777,615,0,0,551
14,958,59779,617,0,0,654
14,958,59781,619,0,0,500
14,958,59783,621,0,0,536
14,958,59786,623,0,0,424
14,958,59789,626,1.87,0,649
14,958,59795,630,0,0,320
14,958,59796,631,0,0,531
14,958,59799,634,0,0,568
14,958,59804,638,4.67,0,395
14,958,59805,639,0,0,729
14,958,59806,640,0,0,
14,958,59807,641,0,0,
14,958,59808,642,0,0,
14,959,59812,646,0,0,430
14,959,59813,647,0,0,296
14,959,59816,650,0,0,467
14,959,59817,651,0,0,336
14,959,59818,652,0,0,470
14,959,59821,654,0,0,309
14,959,59824,656,0,0,376
14,959,59825,657,0,0,371
14,959,59830,658,0,0,456
14,959,59840,663,0,0,300
14,959,59842,664,0,0,337
14,959,59843,665,0,0,420
14,959,59846,667,0,0,273
14,959,59847,668,0,0,410
14,959,59851,671,0,0,302
14,959,59852,672,0,0,440
14,959,59855,675,0,0,
14,959,59856,676,0,0,565
14,130,62175,859,0.94,2,610
14,130,62182,863,1.87,2,480
14,130,62183,864,2.81,4,480
14,130,62184,865,1.87,1,480
14,131,62189,933,0,0,390
14,131,62192,939,22.44,9,460
14,131,62193,941,7.48,3,430
14,131,62194,942,2.81,1,480
14,131,62195,943,0,0,410
14,131,62198,949,0,0,510
14,997,62204,1338,0,0,410
14,997,62206,1344,0,0,410
14,1099,62213,1386,3.74,6,540
14,1099,62215,1395,0,0,540
14,1099,62216,1408,0,0,480
14,996,62221,1477,3.74,3,430
14,996,62223,1489,0,0,570
14,996,62225,1492,0.94,1,510
14,996,62228,1494,1.4,1,610
14,996,62231,1497,0,0,550
14,996,62232,1498,0,0,620
14,1006,62233,1501,1.87,5,470
14,1006,62238,1508,0,0,390
14,1006,62241,1515,0,0,420
14,1006,62243,1518,0,0,470
14,1006,62244,1520,5.61,4,620
14,1006,62245,1521,2.34,3,590
14,1006,62247,1529,0,0,360
14,1006,62250,1535,0,0,460
14,1006,62251,719,0,0,860
14,1006,62252,1536,3.74,3,620
14,1047,62254,1538,3.74,5,550
14,1047,62258,1547,6.54,5,650
14,1047,62259,1548,0,0,650
14,1047,62260,1552,4.67,4,450
14,1047,62262,1553,4.67,2,370
14,1047,62265,721,0,0,
14,164,62267,1593,3.74,3,540
14,164,62270,1599,0,0,590
14,164,62273,724,0,0,660
14,140,62453,1089,8.41,4,808
14,140,62457,1091,4.67,5,740
14,132,62458,1123,2.81,3,527
14,140,62461,1085,3.74,13,544
14,127,80695,729,0,0,280
14,127,80698,2962,1.87,1,270
14,127,80699,2963,2.81,3,340
14,127,80704,2967,6.54,16,410
14,127,80705,2968,1.87,1,370
14,127,80710,2971,3.74,6,240
14,127,80711,2972,9.35,10,430
14,127,80714,2974,7.48,60,260
14,127,80718,2977,4.67,3,290
14,127,80720,2978,25.3,13,410
14,127,80724,2981,9.35,8,170
14,127,80732,2987,3.74,2,460
14,127,80734,2989,3.74,5,410
14,127,80737,2991,1.4,1,270
14,127,80740,2993,0,0,340
14,127,80742,2994,31.9,14,410
14,127,80743,2995,0,0,390
14,127,80748,2999,17.77,6,440
14,127,80751,3001,0,0,280
14,127,80753,3003,0,0,440
14,127,80755,3005,4.67,1,520
14,127,80758,3008,9.35,5,330
14,127,80760,3009,15.89,7,340
14,127,80768,3015,14.03,9,360
14,127,80769,3016,4.67,4,260
14,127,80772,3019,2.81,3,250
14,127,80775,3021,6.54,16,310
14,127,80776,3022,6.54,12,320
14,127,80779,3025,4.67,3,360
14,127,80782,3027,7.48,10,310
14,127,80784,3028,5.61,4,290
14,127,80785,3029,0,0,270
14,127,80786,3030,9.35,6,240
14,127,80788,3031,0,0,370
14,127,80789,3032,0,0,420
14,127,80790,3033,0,0,330
14,127,80791,3034,3.74,2,300
14,127,80793,3035,7.48,11,350
14,127,80796,3037,7.48,4,430
14,127,80803,3039,13.09,10,340
14,127,80806,3040,7.48,5,380
14,127,80809,3042,6.54,3,340
14,127,80813,3044,1.87,4,290
14,127,80814,3045,7.48,9,430
14,127,80820,3049,16.83,9,390
14,127,80823,3052,7.48,6,460
14,127,80824,3053,14.96,13,200
14,127,80825,3054,0,0,360
14,127,80827,3055,4.67,3,390
14,127,80830,3057,1.87,21,100
14,127,80832,3058,0,0,260
14,127,80834,3060,10.29,16,440
14,127,80836,3062,0,0,420
14,127,80838,732,0,0,230
14,127,80847,3072,0,0,440
14,127,80848,3073,0,0,440
14,127,80850,3074,0,0,530
14,127,80852,3075,10.29,15,440
14,127,80853,3076,10.29,16,510
14,127,80863,3079,3.74,8,420
14,127,80866,3081,5.61,104,240
14,127,80869,3083,21.85,11,390
14,127,80871,3085,7.48,6,350
14,127,80872,3086,5.61,4,330
14,127,80877,3091,5.61,3,320
14,127,80879,3092,23.2,11,480
14,127,80880,3093,6.54,9,310
14,127,80884,3097,2.81,4,280
14,127,80886,3099,0.94,1,380
14,127,80890,3102,0,0,290
14,127,80893,3104,3.74,2,280
14,127,80896,3106,12.15,7,310
14,127,80903,3107,5.61,3,340
14,127,80905,3108,18.7,12,170
14,127,80908,3109,22.44,20,230
14,127,80918,3110,9.35,6,240
14,127,80919,3111,0,0,260
14,127,80920,734,0,0,120
14,127,80927,3112,5.61,25,120
14,127,80929,3113,3.74,4,220
14,127,80937,735,0,0,420
14,127,80939,3117,6.54,4,320
14,128,80947,3120,39.15,22,350
14,128,80948,3121,0,0,380
14,128,80949,736,0,0,380
14,128,80950,3122,0,0,410
14,128,80953,3124,1.87,1,440
14,128,80959,737,0,0,480
14,128,80964,3128,7.48,3,470
14,128,80965,3129,0,0,530
14,128,80966,3130,0.94,1,440
14,128,80968,3131,2.81,2,330
14,128,80971,3132,11.6,3,400
14,128,80974,3133,10.29,6,410
14,128,80977,3136,3.74,5,480
