"core_id","ring_id","year","incr_mm"
2962,96311,1942,0.38
2962,96312,1943,0.37
2962,96313,1944,0.54
2962,96314,1945,0.52
2962,96315,1946,0.49
2962,96316,1947,0.47
2962,96317,1948,0.22
2962,96318,1949,0.34
2962,96319,1950,0.32
2962,96320,1951,0.24
2962,96321,1952,0.26
2962,96322,1953,0.2
2962,96323,1954,0.08
2962,96324,1955,0.14
2962,96325,1956,0.05
2962,96326,1957,0.1
2962,96327,1958,0.1
2962,96328,1959,0.16
2962,96329,1960,0.04
2962,96330,1961,0.04
2962,96331,1962,0.04
2962,96332,1963,0.19
2962,96333,1964,0.11
2962,96334,1965,0.08
2962,96335,1966,0.1
2963,96336,1757,1.6
2963,96337,1758,1.2
2963,96338,1759,0.89
2963,96339,1760,0.52
2963,96340,1761,0.67
2963,96341,1762,0.27
2963,96342,1763,0.39
2963,96343,1764,0.53
2963,96344,1765,0.53
2963,96345,1766,0.7
2963,96346,1767,1.52
2963,96347,1768,1.95
2963,96348,1769,0.65
2963,96349,1770,0.99
2963,96350,1771,2.5
2963,96351,1772,1.37
2963,96352,1773,0.51
2963,96353,1774,1
2963,96354,1775,0.75
2963,96355,1776,0.51
2963,96356,1777,0.94
2963,96357,1778,1.13
2963,96358,1779,1.51
2963,96359,1780,1.29
2963,96360,1781,1.35
2963,96361,1782,1.07
2963,96362,1783,1.33
2963,96363,1784,1.63
2963,96364,1785,1.57
2963,96365,1786,1.59
2963,96366,1787,1.89
2963,96367,1788,1.75
2963,96368,1789,1.32
2963,96369,1790,1.23
2963,96370,1791,1.22
2963,96371,1792,1.14
2963,96372,1793,0.91
2963,96373,1794,0.76
2963,96374,1795,0.82
2963,96375,1796,1.08
2963,96376,1797,0.71
2963,96377,1798,1.25
2963,96378,1799,1.07
2963,96379,1800,1.12
2963,96380,1801,1.17
2963,96381,1802,1.17
2963,96382,1803,0.8
2963,96383,1804,0.75
2963,96384,1805,0.71
2963,96385,1806,0.64
2963,96386,1807,1.04
2963,96387,1808,0.8
2963,96388,1809,1.06
2963,96389,1810,1.07
2963,96390,1811,1.18
2963,96391,1812,0.83
2963,96392,1813,1.09
2963,96393,1814,1.59
2963,96394,1815,1.24
2963,96395,1816,1.05
2963,96396,1817,0.97
2963,96397,1818,0.74
2963,96398,1819,0.89
2963,96399,1820,1.1
2963,96400,1821,0.66
2963,96401,1822,1.04
2963,96402,1823,0.84
2963,96403,1824,0.88
2963,96404,1825,0.9
2963,96405,1826,0.45
2963,96406,1827,0.43
2963,96407,1828,0.52
2963,96408,1829,0.86
2963,96409,1830,1.44
2963,96410,1831,1.78
2963,96411,1832,1.13
